"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 81)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 82)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 83)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 84)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 85)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 86)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 87)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 88)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 89)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 90)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 91)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 92)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 93)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 94)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 95)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 96)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 97)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 98)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 99)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 100)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 101)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 102)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 103)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 104)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 105)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 106)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 107)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 108)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
"(1, 109)",2016,03,CHOA CHU KANG,701,109,Model A,1995,3028
