"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(1, 81)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(1, 82)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(1, 83)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(1, 84)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(1, 85)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(1, 86)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(1, 87)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(1, 88)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(1, 89)",2022,02,CHOA CHU KANG,26,89,New Generation,1979,3539
"(1, 90)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 91)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 92)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 93)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 94)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 95)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 96)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 97)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 98)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 99)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 100)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 101)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 102)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 103)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 104)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 105)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 106)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 107)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 108)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
"(1, 109)",2022,02,CHOA CHU KANG,13,119,Improved,1979,3798
